municipio,tipo_vivienda,habitaciones,metros_cuadrados,aseos,planta,garaje,zona_centro,ascensor,piscina,reformado,terraza,aire_acondicionado,precio
1,5,4.0,150.0,2.0,3.0,0,1,1,0,0,0,0,240000.0
1,5,2.0,69.0,1.0,5.0,0,0,0,0,0,0,0,86000.0
1,2,4.0,162.0,2.0,0.0,0,0,0,0,0,1,0,315000.0
1,2,6.0,315.0,3.0,0.0,0,0,0,0,0,1,0,575000.0
1,2,4.0,110.0,1.0,0.0,0,0,0,0,0,1,1,330000.0
1,6,3.0,87.0,1.0,0.0,0,0,0,0,0,1,0,160000.0
1,5,2.0,65.0,1.0,3.0,0,0,1,0,0,1,0,199900.0
1,2,4.0,150.0,2.0,0.0,0,0,0,0,0,1,0,300000.0
1,5,3.0,63.0,2.0,3.0,0,0,0,0,0,0,0,27000.0
1,5,3.0,104.0,2.0,3.0,0,0,0,0,0,0,0,89000.0
1,1,4.0,101.0,2.0,0.0,0,0,0,0,0,0,0,118000.0
1,5,3.0,62.0,1.0,3.0,0,0,0,0,0,0,0,31000.0
1,5,3.0,58.0,1.0,3.0,0,0,1,0,0,0,0,76000.0
1,5,3.0,90.0,2.0,1.0,0,0,1,0,0,0,0,91700.0
1,5,2.0,77.0,1.0,2.0,0,0,1,0,0,0,0,55400.0
1,5,3.0,161.0,2.0,3.0,0,0,0,0,0,0,0,124000.0
1,5,3.0,57.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,5,3.0,89.0,2.0,3.0,0,1,0,0,0,0,0,120000.0
1,5,3.0,78.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,5,3.0,103.0,2.0,3.0,0,1,0,0,0,0,0,119390.0
1,5,3.0,48.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,5,3.0,91.0,2.0,3.0,0,0,0,0,0,0,0,121819.0
1,5,3.0,103.0,2.0,3.0,0,0,0,0,0,0,0,133770.0
1,5,3.0,98.0,2.0,3.0,0,0,0,0,0,0,0,126236.0
1,5,3.0,161.0,2.0,3.0,0,0,0,0,0,0,0,126268.0
1,5,3.0,116.0,2.0,3.0,0,0,0,0,0,0,0,127264.0
1,5,3.0,56.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,5,3.0,114.0,2.0,3.0,0,0,0,0,0,0,0,196110.0
1,5,3.0,86.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,5,3.0,75.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,2,4.0,700.0,2.0,0.0,0,0,0,0,0,1,0,198000.0
1,5,3.0,71.0,1.0,4.0,0,0,0,0,0,0,0,35100.0
1,5,3.0,91.0,1.0,3.0,0,0,0,0,0,0,0,93000.0
1,5,3.0,85.0,1.0,4.0,0,0,0,0,0,0,0,75000.0
1,2,2.0,126.0,1.0,0.0,0,0,0,0,0,1,0,84000.0
1,5,3.0,103.0,2.0,2.0,0,0,0,0,0,0,0,90000.0
1,2,5.0,402.0,2.0,0.0,0,0,0,0,0,0,0,504000.0
1,5,3.0,119.0,1.0,3.0,0,0,0,0,0,0,0,44000.0
1,5,3.0,71.0,1.0,3.0,0,1,0,0,0,0,0,85000.0
1,5,3.0,107.0,2.0,3.0,0,0,0,0,0,0,0,170524.0
1,5,3.0,76.0,2.0,3.0,0,0,0,0,0,0,0,119000.0
1,5,3.0,94.0,2.0,3.0,0,0,0,0,0,0,0,119000.0
1,5,3.0,102.0,2.0,3.0,0,0,0,0,0,0,0,119000.0
1,2,3.0,102.0,1.0,0.0,0,0,0,0,0,1,0,290000.0
1,5,2.0,60.0,1.0,3.0,0,0,0,0,0,0,0,135392.0
1,1,4.0,174.0,2.0,0.0,0,0,0,0,0,1,0,190000.0
1,0,3.0,115.0,1.0,4.0,0,1,0,0,0,0,0,125000.0
1,5,3.0,78.0,1.0,3.0,0,0,1,0,0,0,0,93000.0
1,5,3.0,104.0,2.0,1.0,0,0,1,0,0,0,0,104600.0
1,5,3.0,103.0,2.0,3.0,0,0,1,0,0,0,0,64000.0
1,4,3.0,105.0,2.0,0.0,0,0,0,0,0,0,0,451000.0
1,5,3.0,56.0,1.0,3.0,0,0,0,0,0,0,0,42000.0
1,5,3.0,90.0,1.0,3.0,0,0,1,0,0,0,0,96000.0
1,5,3.0,104.0,2.0,3.0,0,1,1,0,0,0,0,88200.0
1,5,3.0,60.0,1.0,3.0,0,0,0,0,0,0,0,31000.0
